task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,truncated,nregret,log_regret
lcbench_126025,lcbench,CMAES,0,200,200,-90.16645812988281,-90.16645812988281,90.16645812988281,,True,0.7620023000054061,0.17241029994329438,0.7835542000248097,10400.0,0.5895920000621118,90.16645812988281,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,1,200,200,-91.97183990478516,-91.97183990478516,91.97183990478516,,True,0.7176761999726295,0.15886860009049997,0.731339099991601,10400.0,0.5588075998821296,91.97183990478516,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,2,200,200,-92.11791229248047,-92.11791229248047,92.11791229248047,,True,0.9093304999987595,0.217021300108172,1.009311700006947,10400.0,0.6923091998905875,92.11791229248047,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,3,200,200,-91.42021942138672,-91.42021942138672,91.42021942138672,,True,0.8245409000082873,0.17045760003384203,0.8377451000269502,10400.0,0.6540832999744453,91.42021942138672,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,4,200,200,-92.3751449584961,-92.3751449584961,92.3751449584961,,True,1.211628200020641,0.2930889001581818,1.22607950004749,10400.0,0.9185392998624593,92.3751449584961,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,5,200,200,-92.30504608154297,-92.30504608154297,92.30504608154297,,True,0.7148173999739811,0.16022289963439107,0.7310892000095919,10400.0,0.55459450033959,92.30504608154297,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,6,200,200,-92.24907684326172,-92.24907684326172,92.24907684326172,,True,0.8447751000057906,0.17238580028060824,0.855160600040108,10400.0,0.6723892997251824,92.24907684326172,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,7,200,200,-92.01851654052734,-92.01851654052734,92.01851654052734,,True,0.6585053000017069,0.17107619991293177,0.6697697000345215,10400.0,0.48742910008877516,92.01851654052734,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,8,200,200,-91.552490234375,-91.552490234375,91.552490234375,,True,0.6688146000378765,0.1583305000094697,0.6859906000318006,10400.0,0.5104841000284068,91.552490234375,,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,9,200,200,-91.73252868652344,-91.73252868652344,91.73252868652344,,True,0.6962775000138208,0.16174780001165345,0.7146364999935031,10400.0,0.5345297000021674,91.73252868652344,,,,,,,,,,,,,,,,,,,,
