task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,nregret,log_regret
rbv2_svm_1067,rbv2_svm,CMAES,0,200,200,-0.8545004725456238,-0.8545004725456238,0.8545004725456238,,True,0.5475585000240244,0.20738089963560924,0.5502310000010766,200.0,0.34017760038841516,0.8545004725456238,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,1,200,200,-0.8538247346878052,-0.8538247346878052,0.8538247346878052,,True,0.5009837000397965,0.18565149971982464,0.5038750999956392,200.0,0.3153322003199719,0.8538247346878052,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,2,200,200,-0.8621762990951538,-0.8621762990951538,0.8621762990951538,,True,0.5137339999782853,0.18944010051200166,0.5173875000327826,200.0,0.3242938994662836,0.8621762990951538,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,3,200,200,-0.8562947511672974,-0.8562947511672974,0.8562947511672974,,True,0.4859881999436766,0.17420419998234138,0.48871430003782734,200.0,0.3117839999613352,0.8562947511672974,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,4,200,200,-0.8641563653945923,-0.8641563653945923,0.8641563653945923,,True,0.4830142999999225,0.18226899951696396,0.4857629000325687,200.0,0.30074530048295856,0.8641563653945923,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,5,200,200,-0.8536022901535034,-0.8536022901535034,0.8536022901535034,,True,0.5197997000068426,0.20473250007489696,0.5225154999643564,200.0,0.31506719993194565,0.8536022901535034,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,6,200,200,-0.8537052869796753,-0.8537052869796753,0.8537052869796753,,True,0.4718402000144124,0.17746250017080456,0.4743952000280842,200.0,0.29437769984360784,0.8537052869796753,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,7,200,200,-0.8593600392341614,-0.8593600392341614,0.8593600392341614,,True,0.5042518000118434,0.19337300024926662,0.5071384999901056,200.0,0.3108787997625768,0.8593600392341614,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,8,200,200,-0.8564498424530029,-0.8564498424530029,0.8564498424530029,,True,0.4905584999942221,0.200732400349807,0.4922004999825731,200.0,0.2898260996444151,0.8564498424530029,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,9,200,200,-0.8629847764968872,-0.8629847764968872,0.8629847764968872,,True,0.47709699999541044,0.1952755995444022,0.479725299985148,200.0,0.28182140045100823,0.8629847764968872,,,,,,,,,,,,,,,,,,,
rbv2_svm_1067,rbv2_svm,CMAES,10,200,200,-0.8590660095214844,-0.8590660095214844,0.8590660095214844,,True,0.509777800005395,0.19803180039161816,0.512644000002183,200.0,0.3117459996137768,0.8590660095214844,,,,,,,,,,,,,,,,,,,
